Year,Month,Day,SPY(t+1),Y_pred
2018,7,17,280.559998,277.1458
2018,7,18,280.309998,277.43704
2018,7,20,279.450012,280.7431
2018,7,26,283.709991,280.43665
2018,8,14,282.380005,282.2424
2018,9,25,290.910004,292.54645
2018,10,5,287.049988,288.1917
2018,10,9,286.829987,284.29266
2018,10,16,280.440002,276.1908
2018,10,24,267.380005,272.42044
2018,11,7,280.109985,276.66428
2018,11,8,279.02999900000003,279.12503
2018,11,26,266.339996,264.13226
2018,12,12,266.519989,267.55682
2018,12,28,249.559998,250.70891
2019,1,24,265.609985,263.33902
2019,2,5,272.790009,271.60403
2019,2,11,272.420013,274.1922
2019,2,14,276.359985,275.05127
2019,2,27,278.959991,279.79483
2019,3,6,276.829987,277.53427
2019,3,7,272.940002,276.75067
2019,3,11,279.059998,273.67288
2019,3,26,281.109985,281.43198
2019,3,28,282.390015,284.057
2019,4,3,286.77999900000003,291.14062
2019,4,25,292.100006,294.02557
2019,5,2,292.820007,291.70605
2019,5,6,290.149994,287.51523
2019,5,10,282.420013,285.3741
2019,5,14,281.589996,282.57855
2019,5,16,285.140015,283.43887
2019,5,30,276.200012,280.50507
2019,6,3,277.119995,276.75723
2019,6,4,282.329987,276.1899
2019,6,5,283.290009,282.1689
2019,6,13,289.26001,291.2782
2019,6,17,291.390015,292.44742
2019,6,19,296.040009,289.99387
2019,6,24,293.700012,295.43112
2019,6,25,291.75,293.8363
2019,6,28,296.679993,292.723
2019,7,16,299.75,301.55313
2019,7,19,297.609985,299.76773
2019,7,22,299.140015,297.36642
2019,8,6,284.399994,287.38724
2019,8,7,289.619995,285.33716
2019,8,14,284.880005,286.14862
2019,8,20,292.480011,291.8923
2019,9,3,293.140015,292.94336
2019,9,5,298.170013,299.0508
2019,9,9,297.359985,303.7447
2019,9,17,300.48999,299.28656
2019,9,20,297.549988,299.80197
2019,9,23,299.410004,297.8421
2019,9,27,295.97000099999997,296.9801
2019,9,30,297.73999,295.63367
2019,10,11,295.929993,296.18866
2019,10,15,298.369995,299.46002
2019,10,16,299.679993,300.97794
2019,10,21,300.579987,299.6288
2019,10,23,300.910004,296.37103
2019,10,25,302.940002,296.91373
2019,11,1,307.850006,308.76477
2019,11,7,307.799988,308.51843
2019,11,14,311.019989,309.96518
2019,11,18,312.679993,307.595
2019,11,19,311.27999900000003,311.51566
2019,11,22,311.980011,312.46997
2019,12,4,312.230011,313.02002
2019,12,18,319.799988,321.20456
2019,12,19,320.459991,320.00815
2019,12,20,321.589996,322.19452
2019,12,26,323.73999,320.44913
2019,12,27,322.950012,322.27545
2020,1,7,322.940002,323.71985
2020,1,14,327.350006,328.1909
2020,1,22,330.630005,334.56433
2020,2,11,336.829987,336.16608
2020,2,24,323.940002,318.69855
2020,3,2,309.5,295.93423
2020,3,17,236.25,239.42548
2020,3,25,249.520004,244.68272
2020,4,6,274.209991,258.92172
2020,4,8,277.579987,269.95767
2020,4,22,280.48999,282.35757
2020,4,28,291.52999900000003,290.44574
2020,5,1,280.73999,290.51367
2020,5,6,287.75,287.62915
2020,5,15,293.049988,289.30707
2020,5,18,294.350006,295.3776
2020,5,21,294.570007,306.81326
2020,5,26,302.119995,306.72354
2020,5,27,304.649994,300.32132
2020,6,8,320.299988,316.24112
2020,6,17,310.01001,311.3924
2020,6,23,309.839996,312.75287
2020,7,2,316.369995,312.34637
2020,7,6,315.380005,315.00955
2020,7,7,314.609985,314.14825
2020,7,13,313.299988,319.85556
2020,7,15,319.790009,328.43228
2020,7,21,324.619995,323.26898
2020,7,27,322.429993,321.30417
2020,8,3,327.859985,330.5737
2020,8,7,335.059998,333.06927
2020,8,18,339.049988,338.27997
2020,8,19,335.359985,335.70645
2020,9,2,355.869995,355.11838
2020,9,14,341.119995,340.31973
2020,9,25,333.22000099999997,320.51492
2020,9,28,333.97000099999997,330.04156
2020,10,5,339.910004,335.87604
2020,10,23,342.130005,343.0695
2020,10,28,326.910004,340.2738
2020,11,10,356.399994,360.49554
2020,11,12,355.269989,359.05624
2020,11,13,360.980011,357.21387
2020,11,23,360.209991,353.44214
2020,12,1,364.820007,372.4475
2020,12,3,367.320007,371.53815
2020,12,8,370.880005,369.19827
2020,12,23,368.079987,373.63074
2020,12,29,372.339996,380.9036
2020,12,30,371.77999900000003,380.7075
2020,12,31,375.309998,379.79944
2021,1,6,376.100006,376.0167
2021,1,14,376.72000099999997,385.67484
2021,2,1,379.649994,372.71506
2021,2,2,382.440002,380.04126
2021,2,25,384.350006,383.29987
2021,3,5,384.660004,372.8179
2021,3,8,385.850006,374.7582
2021,3,9,389.690002,381.09775
2021,3,10,392.230011,388.43478
2021,3,26,394.399994,394.4257
2021,3,29,394.420013,397.09753
2021,4,13,412.829987,411.02704
