Trend_t+1,t,Open_t,High_t,Low_t,Close_t,Volume_t,Return_t,Gap_t,Adj_Open_t,Adj_High_t,Adj_Low_t,Adj_Close_t,Adj_Volume_t,Adj_Return_t,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Return_t-1,Gap_t-1,Adj_Open_t-1,Adj_High_t-1,Adj_Low_t-1,Adj_Close_t-1,Adj_Volume_t-1,Adj_Return_t-1,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Return_t-2,Gap_t-2,Adj_Open_t-2,Adj_High_t-2,Adj_Low_t-2,Adj_Close_t-2,Adj_Volume_t-2,Adj_Return_t-2,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Return_t-3,Gap_t-3,Adj_Open_t-3,Adj_High_t-3,Adj_Low_t-3,Adj_Close_t-3,Adj_Volume_t-3,Adj_Return_t-3,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Return_t-4,Gap_t-4,Adj_Open_t-4,Adj_High_t-4,Adj_Low_t-4,Adj_Close_t-4,Adj_Volume_t-4,Adj_Return_t-4,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Return_t-5,Gap_t-5,Adj_Open_t-5,Adj_High_t-5,Adj_Low_t-5,Adj_Close_t-5,Adj_Volume_t-5,Adj_Return_t-5
Bearish,5/8/19,357.77,361.52,353.33,359.75,6028014,0.007054279,0.54,349.4294511,353.0920288,345.092959,351.3632921,6028014,0.007054279,366.33,367.71,355.02,357.23,9738106,-0.038670614,-5.27,357.7898952,359.1377238,346.7435607,348.9020399,9738106,-0.038670613,367.88,372.48,365.63,371.6,4747601,-0.012909738,-8.58,359.3037607,363.7965227,357.1062141,362.9370378,4747601,-0.012909738,376.08,377.9,374.22,376.46,2952745,0.001756253,0.28,367.3125974,369.0901685,365.4959588,367.6837386,2952745,0.001756253,375.5,377.65,373.25,375.8,2438759,-0.002653928,-1.3,366.7461187,368.8459966,364.548572,367.0391249,2438759,-0.002653928,378.53,381.1951,376.38,376.8,2765572,-0.00235643,0.84,369.7054815,372.3084511,367.6056036,368.0158123,2765572,-0.00235643
Bullish,5/7/19,366.33,367.71,355.02,357.23,9738106,-0.038670614,-5.27,357.7898952,359.1377238,346.7435607,348.9020399,9738106,-0.038670613,367.88,372.48,365.63,371.6,4747601,-0.012909738,-8.58,359.3037607,363.7965227,357.1062141,362.9370378,4747601,-0.012909738,376.08,377.9,374.22,376.46,2952745,0.001756253,0.28,367.3125974,369.0901685,365.4959588,367.6837386,2952745,0.001756253,375.5,377.65,373.25,375.8,2438759,-0.002653928,-1.3,366.7461187,368.8459966,364.548572,367.0391249,2438759,-0.002653928,378.53,381.1951,376.38,376.8,2765572,-0.00235643,0.84,369.7054815,372.3084511,367.6056036,368.0158123,2765572,-0.00235643,379.5,381.14,375.05,377.69,3732809,-0.003587917,0.45,370.6528683,372.2546356,366.3066094,368.8850641,3732809,-0.003587917
Bearish,5/6/19,367.88,372.48,365.63,371.6,4747601,-0.012909738,-8.58,359.3037607,363.7965227,357.1062141,362.9370378,4747601,-0.012909738,376.08,377.9,374.22,376.46,2952745,0.001756253,0.28,367.3125974,369.0901685,365.4959588,367.6837386,2952745,0.001756253,375.5,377.65,373.25,375.8,2438759,-0.002653928,-1.3,366.7461187,368.8459966,364.548572,367.0391249,2438759,-0.002653928,378.53,381.1951,376.38,376.8,2765572,-0.00235643,0.84,369.7054815,372.3084511,367.6056036,368.0158123,2765572,-0.00235643,379.5,381.14,375.05,377.69,3732809,-0.003587917,0.45,370.6528683,372.2546356,366.3066094,368.8850641,3732809,-0.003587917,378.49,385.3,376.76,379.05,5457300,-0.004569448,-2.3,369.666414,376.3176552,367.9767448,370.213359,5457300,-0.004569448
Bearish,5/3/19,376.08,377.9,374.22,376.46,2952745,0.001756253,0.28,367.3125974,369.0901685,365.4959588,367.6837386,2952745,0.001756253,375.5,377.65,373.25,375.8,2438759,-0.002653928,-1.3,366.7461187,368.8459966,364.548572,367.0391249,2438759,-0.002653928,378.53,381.1951,376.38,376.8,2765572,-0.00235643,0.84,369.7054815,372.3084511,367.6056036,368.0158123,2765572,-0.00235643,379.5,381.14,375.05,377.69,3732809,-0.003587917,0.45,370.6528683,372.2546356,366.3066094,368.8850641,3732809,-0.003587917,378.49,385.3,376.76,379.05,5457300,-0.004569448,-2.3,369.666414,376.3176552,367.9767448,370.213359,5457300,-0.004569448,383.89,384,378.14,380.79,4259621,-0.005250784,1.09,374.940526,375.0479616,369.3245734,371.912795,4259621,-0.005250784
Neither,5/2/19,375.5,377.65,373.25,375.8,2438759,-0.002653928,-1.3,366.7461187,368.8459966,364.548572,367.0391249,2438759,-0.002653928,378.53,381.1951,376.38,376.8,2765572,-0.00235643,0.84,369.7054815,372.3084511,367.6056036,368.0158123,2765572,-0.00235643,379.5,381.14,375.05,377.69,3732809,-0.003587917,0.45,370.6528683,372.2546356,366.3066094,368.8850641,3732809,-0.003587917,378.49,385.3,376.76,379.05,5457300,-0.004569448,-2.3,369.666414,376.3176552,367.9767448,370.213359,5457300,-0.004569448,383.89,384,378.14,380.79,4259621,-0.005250784,1.09,374.940526,375.0479616,369.3245734,371.912795,4259621,-0.005250784,376.01,384.8,372.76,382.8,6614992,0.019549353,0.55,367.2442293,375.8293115,364.0699952,373.8759367,6614992,0.019549353
Neither,5/1/19,378.53,381.1951,376.38,376.8,2765572,-0.00235643,0.84,369.7054815,372.3084511,367.6056036,368.0158123,2765572,-0.00235643,379.5,381.14,375.05,377.69,3732809,-0.003587917,0.45,370.6528683,372.2546356,366.3066094,368.8850641,3732809,-0.003587917,378.49,385.3,376.76,379.05,5457300,-0.004569448,-2.3,369.666414,376.3176552,367.9767448,370.213359,5457300,-0.004569448,383.89,384,378.14,380.79,4259621,-0.005250784,1.09,374.940526,375.0479616,369.3245734,371.912795,4259621,-0.005250784,376.01,384.8,372.76,382.8,6614992,0.019549353,0.55,367.2442293,375.8293115,364.0699952,373.8759367,6614992,0.019549353,377.89,381.15,373.66,375.46,9849588,0.003850061,3.87,369.0804016,372.2644025,364.9490139,366.7070512,9849588,0.003850062
Neither,4/30/19,379.5,381.14,375.05,377.69,3732809,-0.003587917,0.45,370.6528683,372.2546356,366.3066094,368.8850641,3732809,-0.003587917,378.49,385.3,376.76,379.05,5457300,-0.004569448,-2.3,369.666414,376.3176552,367.9767448,370.213359,5457300,-0.004569448,383.89,384,378.14,380.79,4259621,-0.005250784,1.09,374.940526,375.0479616,369.3245734,371.912795,4259621,-0.005250784,376.01,384.8,372.76,382.8,6614992,0.019549353,0.55,367.2442293,375.8293115,364.0699952,373.8759367,6614992,0.019549353,377.89,381.15,373.66,375.46,9849588,0.003850061,3.87,369.0804016,372.2644025,364.9490139,366.7070512,9849588,0.003850062,375.54,376.87,372.61,374.02,4874736,-0.003065277,0.37,366.7851862,368.0841804,363.9234921,365.3006213,4874736,-0.003065277
Neither,4/29/19,378.49,385.3,376.76,379.05,5457300,-0.004569448,-2.3,369.666414,376.3176552,367.9767448,370.213359,5457300,-0.004569448,383.89,384,378.14,380.79,4259621,-0.005250784,1.09,374.940526,375.0479616,369.3245734,371.912795,4259621,-0.005250784,376.01,384.8,372.76,382.8,6614992,0.019549353,0.55,367.2442293,375.8293115,364.0699952,373.8759367,6614992,0.019549353,377.89,381.15,373.66,375.46,9849588,0.003850061,3.87,369.0804016,372.2644025,364.9490139,366.7070512,9849588,0.003850062,375.54,376.87,372.61,374.02,4874736,-0.003065277,0.37,366.7851862,368.0841804,363.9234921,365.3006213,4874736,-0.003065277,375.69,378.95,374.9,375.17,4147652,-0.012892362,-4.38,366.9316893,370.1156902,366.1601063,366.4238119,4147652,-0.012892362
Neither,4/26/19,383.89,384,378.14,380.79,4259621,-0.005250784,1.09,374.940526,375.0479616,369.3245734,371.912795,4259621,-0.005250784,376.01,384.8,372.76,382.8,6614992,0.019549353,0.55,367.2442293,375.8293115,364.0699952,373.8759367,6614992,0.019549353,377.89,381.15,373.66,375.46,9849588,0.003850061,3.87,369.0804016,372.2644025,364.9490139,366.7070512,9849588,0.003850062,375.54,376.87,372.61,374.02,4874736,-0.003065277,0.37,366.7851862,368.0841804,363.9234921,365.3006213,4874736,-0.003065277,375.69,378.95,374.9,375.17,4147652,-0.012892362,-4.38,366.9316893,370.1156902,366.1601063,366.4238119,4147652,-0.012892362,377.52,382.17,377.52,380.07,4703105,0.006754609,0,368.7190272,373.2606237,368.7190272,371.2095801,4703105,0.006754609
Neither,4/25/19,376.01,384.8,372.76,382.8,6614992,0.019549353,0.55,367.2442293,375.8293115,364.0699952,373.8759367,6614992,0.019549353,377.89,381.15,373.66,375.46,9849588,0.003850061,3.87,369.0804016,372.2644025,364.9490139,366.7070512,9849588,0.003850062,375.54,376.87,372.61,374.02,4874736,-0.003065277,0.37,366.7851862,368.0841804,363.9234921,365.3006213,4874736,-0.003065277,375.69,378.95,374.9,375.17,4147652,-0.012892362,-4.38,366.9316893,370.1156902,366.1601063,366.4238119,4147652,-0.012892362,377.52,382.17,377.52,380.07,4703105,0.006754609,0,368.7190272,373.2606237,368.7190272,371.2095801,4703105,0.006754609,384.1,384.19,377.4837,377.52,4198752,-0.011002829,2.38,375.1456303,375.2335322,368.6835735,368.7190272,4198752,-0.011002829
Bullish,4/24/19,377.89,381.15,373.66,375.46,9849588,0.003850061,3.87,369.0804016,372.2644025,364.9490139,366.7070512,9849588,0.003850062,375.54,376.87,372.61,374.02,4874736,-0.003065277,0.37,366.7851862,368.0841804,363.9234921,365.3006213,4874736,-0.003065277,375.69,378.95,374.9,375.17,4147652,-0.012892362,-4.38,366.9316893,370.1156902,366.1601063,366.4238119,4147652,-0.012892362,377.52,382.17,377.52,380.07,4703105,0.006754609,0,368.7190272,373.2606237,368.7190272,371.2095801,4703105,0.006754609,384.1,384.19,377.4837,377.52,4198752,-0.011002829,2.38,375.1456303,375.2335322,368.6835735,368.7190272,4198752,-0.011002829,376.51,384.64,375.03,381.72,7080321,0.016672881,1.05,367.732573,375.6730415,366.2870756,372.8211143,7080321,0.016672881
Neither,4/23/19,375.54,376.87,372.61,374.02,4874736,-0.003065277,0.37,366.7851862,368.0841804,363.9234921,365.3006213,4874736,-0.003065277,375.69,378.95,374.9,375.17,4147652,-0.012892362,-4.38,366.9316893,370.1156902,366.1601063,366.4238119,4147652,-0.012892362,377.52,382.17,377.52,380.07,4703105,0.006754609,0,368.7190272,373.2606237,368.7190272,371.2095801,4703105,0.006754609,384.1,384.19,377.4837,377.52,4198752,-0.011002829,2.38,375.1456303,375.2335322,368.6835735,368.7190272,4198752,-0.011002829,376.51,384.64,375.03,381.72,7080321,0.016672881,1.05,367.732573,375.6730415,366.2870756,372.8211143,7080321,0.016672881,376.7,377.9,373.68,375.46,3806959,-0.011010431,-2.94,367.9181436,369.0901685,364.9685476,366.7070512,3806959,-0.011010431
Neither,4/22/19,375.69,378.95,374.9,375.17,4147652,-0.012892362,-4.38,366.9316893,370.1156902,366.1601063,366.4238119,4147652,-0.012892362,377.52,382.17,377.52,380.07,4703105,0.006754609,0,368.7190272,373.2606237,368.7190272,371.2095801,4703105,0.006754609,384.1,384.19,377.4837,377.52,4198752,-0.011002829,2.38,375.1456303,375.2335322,368.6835735,368.7190272,4198752,-0.011002829,376.51,384.64,375.03,381.72,7080321,0.016672881,1.05,367.732573,375.6730415,366.2870756,372.8211143,7080321,0.016672881,376.7,377.9,373.68,375.46,3806959,-0.011010431,-2.94,367.9181436,369.0901685,364.9685476,366.7070512,3806959,-0.011010431,375.75,379.95,372,379.64,7209428,0.025610547,5.59,366.9902905,371.0923776,363.3277128,370.7896045,7209428,0.025610547
Bearish,4/18/19,377.52,382.17,377.52,380.07,4703105,0.006754609,0,368.7190272,373.2606237,368.7190272,371.2095801,4703105,0.006754609,384.1,384.19,377.4837,377.52,4198752,-0.011002829,2.38,375.1456303,375.2335322,368.6835735,368.7190272,4198752,-0.011002829,376.51,384.64,375.03,381.72,7080321,0.016672881,1.05,367.732573,375.6730415,366.2870756,372.8211143,7080321,0.016672881,376.7,377.9,373.68,375.46,3806959,-0.011010431,-2.94,367.9181436,369.0901685,364.9685476,366.7070512,3806959,-0.011010431,375.75,379.95,372,379.64,7209428,0.025610547,5.59,366.9902905,371.0923776,363.3277128,370.7896045,7209428,0.025610547,364.62,371.08,364.21,370.16,6552379,0.014303721,-0.32,356.1197598,362.4291604,355.7193179,361.530608,6552379,0.014303721
Bullish,4/17/19,384.1,384.19,377.4837,377.52,4198752,-0.011002829,2.38,375.1456303,375.2335322,368.6835735,368.7190272,4198752,-0.011002829,376.51,384.64,375.03,381.72,7080321,0.016672881,1.05,367.732573,375.6730415,366.2870756,372.8211143,7080321,0.016672881,376.7,377.9,373.68,375.46,3806959,-0.011010431,-2.94,367.9181436,369.0901685,364.9685476,366.7070512,3806959,-0.011010431,375.75,379.95,372,379.64,7209428,0.025610547,5.59,366.9902905,371.0923776,363.3277128,370.7896045,7209428,0.025610547,364.62,371.08,364.21,370.16,6552379,0.014303721,-0.32,356.1197598,362.4291604,355.7193179,361.530608,6552379,0.014303721,368.4,368.79,362.92,364.94,8284959,-0.011109907,-0.64,359.8116382,360.1925462,354.4593912,356.4322997,8284959,-0.011109907
Bearish,4/16/19,376.51,384.64,375.03,381.72,7080321,0.016672881,1.05,367.732573,375.6730415,366.2870756,372.8211143,7080321,0.016672881,376.7,377.9,373.68,375.46,3806959,-0.011010431,-2.94,367.9181436,369.0901685,364.9685476,366.7070512,3806959,-0.011010431,375.75,379.95,372,379.64,7209428,0.025610547,5.59,366.9902905,371.0923776,363.3277128,370.7896045,7209428,0.025610547,364.62,371.08,364.21,370.16,6552379,0.014303721,-0.32,356.1197598,362.4291604,355.7193179,361.530608,6552379,0.014303721,368.4,368.79,362.92,364.94,8284959,-0.011109907,-0.64,359.8116382,360.1925462,354.4593912,356.4322997,8284959,-0.011109907,370.29,372.24,367.75,369.04,7976134,-0.014632062,-4.23,361.6575773,363.5621178,359.1767913,360.4367181,7976134,-0.014632062
Bullish,4/15/19,376.7,377.9,373.68,375.46,3806959,-0.011010431,-2.94,367.9181436,369.0901685,364.9685476,366.7070512,3806959,-0.011010431,375.75,379.95,372,379.64,7209428,0.025610547,5.59,366.9902905,371.0923776,363.3277128,370.7896045,7209428,0.025610547,364.62,371.08,364.21,370.16,6552379,0.014303721,-0.32,356.1197598,362.4291604,355.7193179,361.530608,6552379,0.014303721,368.4,368.79,362.92,364.94,8284959,-0.011109907,-0.64,359.8116382,360.1925462,354.4593912,356.4322997,8284959,-0.011109907,370.29,372.24,367.75,369.04,7976134,-0.014632062,-4.23,361.6575773,363.5621178,359.1767913,360.4367181,7976134,-0.014632062,376.2,379.8,371.86,374.52,14458465,-0.044421198,-15.73,367.4297999,370.9458745,363.1909766,365.788965,14458465,-0.044421198
Bearish,4/12/19,375.75,379.95,372,379.64,7209428,0.025610547,5.59,366.9902905,371.0923776,363.3277128,370.7896045,7209428,0.025610547,364.62,371.08,364.21,370.16,6552379,0.014303721,-0.32,356.1197598,362.4291604,355.7193179,361.530608,6552379,0.014303721,368.4,368.79,362.92,364.94,8284959,-0.011109907,-0.64,359.8116382,360.1925462,354.4593912,356.4322997,8284959,-0.011109907,370.29,372.24,367.75,369.04,7976134,-0.014632062,-4.23,361.6575773,363.5621178,359.1767913,360.4367181,7976134,-0.014632062,376.2,379.8,371.86,374.52,14458465,-0.044421198,-15.73,367.4297999,370.9458745,363.1909766,365.788965,14458465,-0.044421198,398.07,398.66,390.95,391.93,6819410,-0.009927752,2.21,388.7899533,389.3661989,381.835939,382.7930927,6819410,-0.009927752
Bullish,4/11/19,364.62,371.08,364.21,370.16,6552379,0.014303721,-0.32,356.1197598,362.4291604,355.7193179,361.530608,6552379,0.014303721,368.4,368.79,362.92,364.94,8284959,-0.011109907,-0.64,359.8116382,360.1925462,354.4593912,356.4322997,8284959,-0.011109907,370.29,372.24,367.75,369.04,7976134,-0.014632062,-4.23,361.6575773,363.5621178,359.1767913,360.4367181,7976134,-0.014632062,376.2,379.8,371.86,374.52,14458465,-0.044421198,-15.73,367.4297999,370.9458745,363.1909766,365.788965,14458465,-0.044421198,398.07,398.66,390.95,391.93,6819410,-0.009927752,2.21,388.7899533,389.3661989,381.835939,382.7930927,6819410,-0.009927752,385.99,397.06,385.1,395.86,9369085,0.028902636,1.25,376.9915695,387.803499,376.1223177,386.6314742,9369085,0.028902636
Bullish,4/10/19,368.4,368.79,362.92,364.94,8284959,-0.011109907,-0.64,359.8116382,360.1925462,354.4593912,356.4322997,8284959,-0.011109907,370.29,372.24,367.75,369.04,7976134,-0.014632062,-4.23,361.6575773,363.5621178,359.1767913,360.4367181,7976134,-0.014632062,376.2,379.8,371.86,374.52,14458465,-0.044421198,-15.73,367.4297999,370.9458745,363.1909766,365.788965,14458465,-0.044421198,398.07,398.66,390.95,391.93,6819410,-0.009927752,2.21,388.7899533,389.3661989,381.835939,382.7930927,6819410,-0.009927752,385.99,397.06,385.1,395.86,9369085,0.028902636,1.25,376.9915695,387.803499,376.1223177,386.6314742,9369085,0.028902636,389.68,391.5386,384.07,384.74,7300176,-0.015380678,-1.07,380.595546,382.4108172,375.1163297,375.7707103,7300176,-0.015380678
Bearish,4/9/19,370.29,372.24,367.75,369.04,7976134,-0.014632062,-4.23,361.6575773,363.5621178,359.1767913,360.4367181,7976134,-0.014632062,376.2,379.8,371.86,374.52,14458465,-0.044421198,-15.73,367.4297999,370.9458745,363.1909766,365.788965,14458465,-0.044421198,398.07,398.66,390.95,391.93,6819410,-0.009927752,2.21,388.7899533,389.3661989,381.835939,382.7930927,6819410,-0.009927752,385.99,397.06,385.1,395.86,9369085,0.028902636,1.25,376.9915695,387.803499,376.1223177,386.6314742,9369085,0.028902636,389.68,391.5386,384.07,384.74,7300176,-0.015380678,-1.07,380.595546,382.4108172,375.1163297,375.7707103,7300176,-0.015380678,388.5,394.8299,388.5,390.75,6397084,-0.002017674,-3.04,379.4430549,385.6253885,379.4430549,381.6406015,6397084,-0.002017674
Bearish,4/8/19,376.2,379.8,371.86,374.52,14458465,-0.044421198,-15.73,367.4297999,370.9458745,363.1909766,365.788965,14458465,-0.044421198,398.07,398.66,390.95,391.93,6819410,-0.009927752,2.21,388.7899533,389.3661989,381.835939,382.7930927,6819410,-0.009927752,385.99,397.06,385.1,395.86,9369085,0.028902636,1.25,376.9915695,387.803499,376.1223177,386.6314742,9369085,0.028902636,389.68,391.5386,384.07,384.74,7300176,-0.015380678,-1.07,380.595546,382.4108172,375.1163297,375.7707103,7300176,-0.015380678,388.5,394.8299,388.5,390.75,6397084,-0.002017674,-3.04,379.4430549,385.6253885,379.4430549,381.6406015,6397084,-0.002017674,385.8,392.9,383.1,391.54,7735719,0.026532431,4.38,376.8059989,383.7404795,374.1689429,382.4121846,7735719,0.026532431
Bearish,4/5/19,398.07,398.66,390.95,391.93,6819410,-0.009927752,2.21,388.7899533,389.3661989,381.835939,382.7930927,6819410,-0.009927752,385.99,397.06,385.1,395.86,9369085,0.028902636,1.25,376.9915695,387.803499,376.1223177,386.6314742,9369085,0.028902636,389.68,391.5386,384.07,384.74,7300176,-0.015380678,-1.07,380.595546,382.4108172,375.1163297,375.7707103,7300176,-0.015380678,388.5,394.8299,388.5,390.75,6397084,-0.002017674,-3.04,379.4430549,385.6253885,379.4430549,381.6406015,6397084,-0.002017674,385.8,392.9,383.1,391.54,7735719,0.026532431,4.38,376.8059989,383.7404795,374.1689429,382.4121846,7735719,0.026532431,376.52,382.18,374.74,381.42,7605098,0.018641171,2.08,367.7423398,373.2703905,366.0038363,372.5281081,7605098,0.018641171
Bearish,4/4/19,385.99,397.06,385.1,395.86,9369085,0.028902636,1.25,376.9915695,387.803499,376.1223177,386.6314742,9369085,0.028902636,389.68,391.5386,384.07,384.74,7300176,-0.015380678,-1.07,380.595546,382.4108172,375.1163297,375.7707103,7300176,-0.015380678,388.5,394.8299,388.5,390.75,6397084,-0.002017674,-3.04,379.4430549,385.6253885,379.4430549,381.6406015,6397084,-0.002017674,385.8,392.9,383.1,391.54,7735719,0.026532431,4.38,376.8059989,383.7404795,374.1689429,382.4121846,7735719,0.026532431,376.52,382.18,374.74,381.42,7605098,0.018641171,2.08,367.7423398,373.2703905,366.0038363,372.5281081,7605098,0.018641171,376.6,376.66,372.33,374.44,4911924,0.000614628,2.39,367.8204748,367.8790761,363.6500196,365.71083,4911924,0.000614628
Bullish,4/3/19,389.68,391.5386,384.07,384.74,7300176,-0.015380678,-1.07,380.595546,382.4108172,375.1163297,375.7707103,7300176,-0.015380678,388.5,394.8299,388.5,390.75,6397084,-0.002017674,-3.04,379.4430549,385.6253885,379.4430549,381.6406015,6397084,-0.002017674,385.8,392.9,383.1,391.54,7735719,0.026532431,4.38,376.8059989,383.7404795,374.1689429,382.4121846,7735719,0.026532431,376.52,382.18,374.74,381.42,7605098,0.018641171,2.08,367.7423398,373.2703905,366.0038363,372.5281081,7605098,0.018641171,376.6,376.66,372.33,374.44,4911924,0.000614628,2.39,367.8204748,367.8790761,363.6500196,365.71083,4911924,0.000614628,371.89,376.66,365.55,374.21,9594114,0.010340731,1.51,363.2202772,367.8790761,357.0280791,365.4861919,9594114,0.010340731
Bearish,4/2/19,388.5,394.8299,388.5,390.75,6397084,-0.002017674,-3.04,379.4430549,385.6253885,379.4430549,381.6406015,6397084,-0.002017674,385.8,392.9,383.1,391.54,7735719,0.026532431,4.38,376.8059989,383.7404795,374.1689429,382.4121846,7735719,0.026532431,376.52,382.18,374.74,381.42,7605098,0.018641171,2.08,367.7423398,373.2703905,366.0038363,372.5281081,7605098,0.018641171,376.6,376.66,372.33,374.44,4911924,0.000614628,2.39,367.8204748,367.8790761,363.6500196,365.71083,4911924,0.000614628,371.89,376.66,365.55,374.21,9594114,0.010340731,1.51,363.2202772,367.8790761,357.0280791,365.4861919,9594114,0.010340731,375.58,375.6,367.6,370.38,6408762,-0.000215948,5.12,366.8242537,366.8437874,359.0302882,361.7454792,6408762,-0.000215948
Neither,4/1/19,385.8,392.9,383.1,391.54,7735719,0.026532431,4.38,376.8059989,383.7404795,374.1689429,382.4121846,7735719,0.026532431,376.52,382.18,374.74,381.42,7605098,0.018641171,2.08,367.7423398,373.2703905,366.0038363,372.5281081,7605098,0.018641171,376.6,376.66,372.33,374.44,4911924,0.000614628,2.39,367.8204748,367.8790761,363.6500196,365.71083,4911924,0.000614628,371.89,376.66,365.55,374.21,9594114,0.010340731,1.51,363.2202772,367.8790761,357.0280791,365.4861919,9594114,0.010340731,375.58,375.6,367.6,370.38,6408762,-0.000215948,5.12,366.8242537,366.8437874,359.0302882,361.7454792,6408762,-0.000215948,365,371.21,362.89,370.46,7933741,0.022889803,2.83,356.490901,362.5561297,354.4300906,361.8236142,7933741,0.022889803
Bullish,3/29/19,376.52,382.18,374.74,381.42,7605098,0.018641171,2.08,367.7423398,373.2703905,366.0038363,372.5281081,7605098,0.018641171,376.6,376.66,372.33,374.44,4911924,0.000614628,2.39,367.8204748,367.8790761,363.6500196,365.71083,4911924,0.000614628,371.89,376.66,365.55,374.21,9594114,0.010340731,1.51,363.2202772,367.8790761,357.0280791,365.4861919,9594114,0.010340731,375.58,375.6,367.6,370.38,6408762,-0.000215948,5.12,366.8242537,366.8437874,359.0302882,361.7454792,6408762,-0.000215948,365,371.21,362.89,370.46,7933741,0.022889803,2.83,356.490901,362.5561297,354.4300906,361.8236142,7933741,0.022889803,368.79,369.86,361.525,362.17,10118739,-0.028253287,-3.91,360.1925462,361.2376018,353.0969123,353.7268757,10118739,-0.028253287
Bullish,3/28/19,376.6,376.66,372.33,374.44,4911924,0.000614628,2.39,367.8204748,367.8790761,363.6500196,365.71083,4911924,0.000614628,371.89,376.66,365.55,374.21,9594114,0.010340731,1.51,363.2202772,367.8790761,357.0280791,365.4861919,9594114,0.010340731,375.58,375.6,367.6,370.38,6408762,-0.000215948,5.12,366.8242537,366.8437874,359.0302882,361.7454792,6408762,-0.000215948,365,371.21,362.89,370.46,7933741,0.022889803,2.83,356.490901,362.5561297,354.4300906,361.8236142,7933741,0.022889803,368.79,369.86,361.525,362.17,10118739,-0.028253287,-3.91,360.1925462,361.2376018,353.0969123,353.7268757,10118739,-0.028253287,374.04,377,372.23,372.7,6773618,-0.009198214,-2.12,365.3201551,368.2111498,363.5523509,364.011394,6773618,-0.009198214
Neither,3/27/19,371.89,376.66,365.55,374.21,9594114,0.010340731,1.51,363.2202772,367.8790761,357.0280791,365.4861919,9594114,0.010340731,375.58,375.6,367.6,370.38,6408762,-0.000215948,5.12,366.8242537,366.8437874,359.0302882,361.7454792,6408762,-0.000215948,365,371.21,362.89,370.46,7933741,0.022889803,2.83,356.490901,362.5561297,354.4300906,361.8236142,7933741,0.022889803,368.79,369.86,361.525,362.17,10118739,-0.028253287,-3.91,360.1925462,361.2376018,353.0969123,353.7268757,10118739,-0.028253287,374.04,377,372.23,372.7,6773618,-0.009198214,-2.12,365.3201551,368.2111498,363.5523509,364.011394,6773618,-0.009198214,374.7,380.8,373.68,376.16,8720329,0.007310607,1.27,365.9647688,371.9225619,364.9685476,367.3907324,8720329,0.007310607
Bullish,3/26/19,375.58,375.6,367.6,370.38,6408762,-0.000215948,5.12,366.8242537,366.8437874,359.0302882,361.7454792,6408762,-0.000215948,365,371.21,362.89,370.46,7933741,0.022889803,2.83,356.490901,362.5561297,354.4300906,361.8236142,7933741,0.022889803,368.79,369.86,361.525,362.17,10118739,-0.028253287,-3.91,360.1925462,361.2376018,353.0969123,353.7268757,10118739,-0.028253287,374.04,377,372.23,372.7,6773618,-0.009198214,-2.12,365.3201551,368.2111498,363.5523509,364.011394,6773618,-0.009198214,374.7,380.8,373.68,376.16,8720329,0.007310607,1.27,365.9647688,371.9225619,364.9685476,367.3907324,8720329,0.007310607,371.14,378.77,371.01,373.43,9851073,0.003089073,-1.14,362.4877616,369.9398865,362.3607923,364.7243758,9851073,0.003089073
Neither,3/25/19,365,371.21,362.89,370.46,7933741,0.022889803,2.83,356.490901,362.5561297,354.4300906,361.8236142,7933741,0.022889803,368.79,369.86,361.525,362.17,10118739,-0.028253287,-3.91,360.1925462,361.2376018,353.0969123,353.7268757,10118739,-0.028253287,374.04,377,372.23,372.7,6773618,-0.009198214,-2.12,365.3201551,368.2111498,363.5523509,364.011394,6773618,-0.009198214,374.7,380.8,373.68,376.16,8720329,0.007310607,1.27,365.9647688,371.9225619,364.9685476,367.3907324,8720329,0.007310607,371.14,378.77,371.01,373.43,9851073,0.003089073,-1.14,362.4877616,369.9398865,362.3607923,364.7243758,9851073,0.003089073,370,373.07,367.2,372.28,12944533,-0.017704953,-8.99,361.374338,364.3727683,358.6396133,363.6011853,12944533,-0.017704952
Bullish,3/22/19,368.79,369.86,361.525,362.17,10118739,-0.028253287,-3.91,360.1925462,361.2376018,353.0969123,353.7268757,10118739,-0.028253287,374.04,377,372.23,372.7,6773618,-0.009198214,-2.12,365.3201551,368.2111498,363.5523509,364.011394,6773618,-0.009198214,374.7,380.8,373.68,376.16,8720329,0.007310607,1.27,365.9647688,371.9225619,364.9685476,367.3907324,8720329,0.007310607,371.14,378.77,371.01,373.43,9851073,0.003089073,-1.14,362.4877616,369.9398865,362.3607923,364.7243758,9851073,0.003089073,370,373.07,367.2,372.28,12944533,-0.017704953,-8.99,361.374338,364.3727683,358.6396133,363.6011853,12944533,-0.017704952,370.88,385.71,366.45,378.99,26697712,0.015242432,-2.42,362.2338229,376.718097,357.9070977,370.1547577,26697712,0.015242432
