Trend_t+1,t,Open_t,High_t,Low_t,Close_t,Volume_t,Return_t,Gap_t,Adj_Open_t,Adj_High_t,Adj_Low_t,Adj_Close_t,Adj_Volume_t,Adj_Return_t,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Return_t-1,Gap_t-1,Adj_Open_t-1,Adj_High_t-1,Adj_Low_t-1,Adj_Close_t-1,Adj_Volume_t-1,Adj_Return_t-1,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Return_t-2,Gap_t-2,Adj_Open_t-2,Adj_High_t-2,Adj_Low_t-2,Adj_Close_t-2,Adj_Volume_t-2,Adj_Return_t-2,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Return_t-3,Gap_t-3,Adj_Open_t-3,Adj_High_t-3,Adj_Low_t-3,Adj_Close_t-3,Adj_Volume_t-3,Adj_Return_t-3,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Return_t-4,Gap_t-4,Adj_Open_t-4,Adj_High_t-4,Adj_Low_t-4,Adj_Close_t-4,Adj_Volume_t-4,Adj_Return_t-4,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Return_t-5,Gap_t-5,Adj_Open_t-5,Adj_High_t-5,Adj_Low_t-5,Adj_Close_t-5,Adj_Volume_t-5,Adj_Return_t-5
Neither,9/16/20,161.95,170.57,160.31,167.46,21844947,0.024282831,-1.54,161.95,170.57,160.31,167.46,21844947,0.024282831,166.65,168.84,163.33,163.49,14851024,-0.011248866,1.3,166.65,168.84,163.33,163.49,14851024,-0.011248866,161.75,165.94,158.9,165.35,17200721,0.031954066,1.52,161.75,165.94,158.9,165.35,17200721,0.031954066,158,161.3592,156.32,160.23,14683687,0.016107553,0.31,158,161.3592,156.32,160.23,14683687,0.016107553,160.96,163.78,157.57,157.69,14499935,-0.019218808,0.18,160.96,163.78,157.57,157.69,14499935,-0.019218808,161.61,163.06,157,160.78,21925223,-0.001862429,0.53,161.61,163.06,157,160.78,21925223,-0.001862429
Bullish,9/15/20,166.65,168.84,163.33,163.49,14851024,-0.011248866,1.3,166.65,168.84,163.33,163.49,14851024,-0.011248866,161.75,165.94,158.9,165.35,17200721,0.031954066,1.52,161.75,165.94,158.9,165.35,17200721,0.031954066,158,161.3592,156.32,160.23,14683687,0.016107553,0.31,158,161.3592,156.32,160.23,14683687,0.016107553,160.96,163.78,157.57,157.69,14499935,-0.019218808,0.18,160.96,163.78,157.57,157.69,14499935,-0.019218808,161.61,163.06,157,160.78,21925223,-0.001862429,0.53,161.61,163.06,157,160.78,21925223,-0.001862429,165.8,166.9,160.5,161.08,22490370,-0.058287051,-5.25,165.8,166.9,160.5,161.08,22490370,-0.058287051
Bearish,9/14/20,161.75,165.94,158.9,165.35,17200721,0.031954066,1.52,161.75,165.94,158.9,165.35,17200721,0.031954066,158,161.3592,156.32,160.23,14683687,0.016107553,0.31,158,161.3592,156.32,160.23,14683687,0.016107553,160.96,163.78,157.57,157.69,14499935,-0.019218808,0.18,160.96,163.78,157.57,157.69,14499935,-0.019218808,161.61,163.06,157,160.78,21925223,-0.001862429,0.53,161.61,163.06,157,160.78,21925223,-0.001862429,165.8,166.9,160.5,161.08,22490370,-0.058287051,-5.25,165.8,166.9,160.5,161.08,22490370,-0.058287051,171.31,172.83,164,171.05,18837147,0.01350951,2.54,171.31,172.83,164,171.05,18837147,0.01350951
Bullish,9/11/20,158,161.3592,156.32,160.23,14683687,0.016107553,0.31,158,161.3592,156.32,160.23,14683687,0.016107553,160.96,163.78,157.57,157.69,14499935,-0.019218808,0.18,160.96,163.78,157.57,157.69,14499935,-0.019218808,161.61,163.06,157,160.78,21925223,-0.001862429,0.53,161.61,163.06,157,160.78,21925223,-0.001862429,165.8,166.9,160.5,161.08,22490370,-0.058287051,-5.25,165.8,166.9,160.5,161.08,22490370,-0.058287051,171.31,172.83,164,171.05,18837147,0.01350951,2.54,171.31,172.83,164,171.05,18837147,0.01350951,175,180.85,168.12,168.77,27700546,-0.034386085,0.22,175,180.85,168.12,168.77,27700546,-0.034386085
Bullish,9/10/20,160.96,163.78,157.57,157.69,14499935,-0.019218808,0.18,160.96,163.78,157.57,157.69,14499935,-0.019218808,161.61,163.06,157,160.78,21925223,-0.001862429,0.53,161.61,163.06,157,160.78,21925223,-0.001862429,165.8,166.9,160.5,161.08,22490370,-0.058287051,-5.25,165.8,166.9,160.5,161.08,22490370,-0.058287051,171.31,172.83,164,171.05,18837147,0.01350951,2.54,171.31,172.83,164,171.05,18837147,0.01350951,175,180.85,168.12,168.77,27700546,-0.034386085,0.22,175,180.85,168.12,168.77,27700546,-0.034386085,172.7398,175,171.45,174.78,16480388,0.015572342,0.6398,172.7398,175,171.45,174.78,16480388,0.015572342
Bearish,9/9/20,161.61,163.06,157,160.78,21925223,-0.001862429,0.53,161.61,163.06,157,160.78,21925223,-0.001862429,165.8,166.9,160.5,161.08,22490370,-0.058287051,-5.25,165.8,166.9,160.5,161.08,22490370,-0.058287051,171.31,172.83,164,171.05,18837147,0.01350951,2.54,171.31,172.83,164,171.05,18837147,0.01350951,175,180.85,168.12,168.77,27700546,-0.034386085,0.22,175,180.85,168.12,168.77,27700546,-0.034386085,172.7398,175,171.45,174.78,16480388,0.015572342,0.6398,172.7398,175,171.45,174.78,16480388,0.015572342,170.71,175.49,169.25,172.1,18975956,0.001629612,-1.11,170.71,175.49,169.25,172.1,18975956,0.001629612
Neither,9/8/20,165.8,166.9,160.5,161.08,22490370,-0.058287051,-5.25,165.8,166.9,160.5,161.08,22490370,-0.058287051,171.31,172.83,164,171.05,18837147,0.01350951,2.54,171.31,172.83,164,171.05,18837147,0.01350951,175,180.85,168.12,168.77,27700546,-0.034386085,0.22,175,180.85,168.12,168.77,27700546,-0.034386085,172.7398,175,171.45,174.78,16480388,0.015572342,0.6398,172.7398,175,171.45,174.78,16480388,0.015572342,170.71,175.49,169.25,172.1,18975956,0.001629612,-1.11,170.71,175.49,169.25,172.1,18975956,0.001629612,174.65,175.2699,171.7,171.82,16227305,-0.022639363,-1.15,174.65,175.2699,171.7,171.82,16227305,-0.022639363
Bearish,9/4/20,171.31,172.83,164,171.05,18837147,0.01350951,2.54,171.31,172.83,164,171.05,18837147,0.01350951,175,180.85,168.12,168.77,27700546,-0.034386085,0.22,175,180.85,168.12,168.77,27700546,-0.034386085,172.7398,175,171.45,174.78,16480388,0.015572342,0.6398,172.7398,175,171.45,174.78,16480388,0.015572342,170.71,175.49,169.25,172.1,18975956,0.001629612,-1.11,170.71,175.49,169.25,172.1,18975956,0.001629612,174.65,175.2699,171.7,171.82,16227305,-0.022639363,-1.15,174.65,175.2699,171.7,171.82,16227305,-0.022639363,175.11,177.28,172.57,175.8,20367817,0.009184845,0.91,175.11,177.28,172.57,175.8,20367817,0.009184845
Bullish,9/3/20,175,180.85,168.12,168.77,27700546,-0.034386085,0.22,175,180.85,168.12,168.77,27700546,-0.034386085,172.7398,175,171.45,174.78,16480388,0.015572342,0.6398,172.7398,175,171.45,174.78,16480388,0.015572342,170.71,175.49,169.25,172.1,18975956,0.001629612,-1.11,170.71,175.49,169.25,172.1,18975956,0.001629612,174.65,175.2699,171.7,171.82,16227305,-0.022639363,-1.15,174.65,175.2699,171.7,171.82,16227305,-0.022639363,175.11,177.28,172.57,175.8,20367817,0.009184845,0.91,175.11,177.28,172.57,175.8,20367817,0.009184845,174.71,181.31,173.5601,174.2,29494738,0.013379872,2.81,174.71,181.31,173.5601,174.2,29494738,0.013379872
Bearish,9/2/20,172.7398,175,171.45,174.78,16480388,0.015572342,0.6398,172.7398,175,171.45,174.78,16480388,0.015572342,170.71,175.49,169.25,172.1,18975956,0.001629612,-1.11,170.71,175.49,169.25,172.1,18975956,0.001629612,174.65,175.2699,171.7,171.82,16227305,-0.022639363,-1.15,174.65,175.2699,171.7,171.82,16227305,-0.022639363,175.11,177.28,172.57,175.8,20367817,0.009184845,0.91,175.11,177.28,172.57,175.8,20367817,0.009184845,174.71,181.31,173.5601,174.2,29494738,0.013379872,2.81,174.71,181.31,173.5601,174.2,29494738,0.013379872,173.8,174.4299,171.35,171.9,16153947,-0.016196417,-0.93,173.8,174.4299,171.35,171.9,16153947,-0.016196417
